lat,lon,year,month,day,wind_speed,altitude_m,season
27.5,77.5,2020,1,1,6.0253625,110.9,Winter
27.5,77.5,2020,1,1,7.609533,762.08,Winter
27.5,77.5,2020,1,1,6.523659,1457.51,Winter
27.5,77.5,2020,1,1,0.9724313,3012.62,Winter
27.5,77.5,2020,1,1,5.4002914,4207.02,Winter
27.5,77.5,2020,1,1,11.764035,5575.21,Winter
27.5,77.5,2020,1,1,21.026844,7186.41,Winter
27.5,77.5,2020,1,1,30.275496,9165.16,Winter
27.5,77.5,2020,1,1,34.328285,10364.27,Winter
27.5,77.5,2020,1,1,38.44545,11776.37,Winter
27.5,77.5,2020,1,1,38.20499,13510.6,Winter
27.5,77.5,2020,1,1,34.94004,15799.14,Winter
27.5,77.5,2020,1,1,24.22656,17671.37,Winter
27.5,77.5,2020,1,1,19.859587,19324.79,Winter
27.5,77.5,2020,1,1,17.123848,21641.08,Winter
27.5,77.5,2020,1,1,5.973745,23325.88,Winter
27.5,77.5,2020,1,1,6.7884088,25921.43,Winter
27.5,77.5,2020,1,2,5.2854743,110.9,Winter
27.5,77.5,2020,1,2,6.2438955,762.08,Winter
27.5,77.5,2020,1,2,4.8457446,1457.51,Winter
27.5,77.5,2020,1,2,2.3436086,3012.62,Winter
27.5,77.5,2020,1,2,6.165733,4207.02,Winter
27.5,77.5,2020,1,2,11.865522,5575.21,Winter
27.5,77.5,2020,1,2,20.027246,7186.41,Winter
27.5,77.5,2020,1,2,31.713688,9165.16,Winter
27.5,77.5,2020,1,2,39.743248,10364.27,Winter
27.5,77.5,2020,1,2,44.547966,11776.37,Winter
27.5,77.5,2020,1,2,42.826,13510.6,Winter
27.5,77.5,2020,1,2,34.29475,15799.14,Winter
27.5,77.5,2020,1,2,17.77892,17671.37,Winter
27.5,77.5,2020,1,2,12.729814,19324.79,Winter
27.5,77.5,2020,1,2,9.89738,21641.08,Winter
27.5,77.5,2020,1,2,5.14569,23325.88,Winter
27.5,77.5,2020,1,2,15.593608,25921.43,Winter
27.5,77.5,2020,1,3,2.7225893,110.9,Winter
27.5,77.5,2020,1,3,2.1571095,762.08,Winter
27.5,77.5,2020,1,3,2.3533218,1457.51,Winter
27.5,77.5,2020,1,3,3.889891,3012.62,Winter
27.5,77.5,2020,1,3,9.625617,4207.02,Winter
