lat,lon,year,month,day,wind_speed,altitude_m,season
27.5,77.5,2020,3,1,3.3928227,110.9,Summer
27.5,77.5,2020,3,1,3.5302272,762.08,Summer
27.5,77.5,2020,3,1,2.9274569,1457.51,Summer
27.5,77.5,2020,3,1,6.462585,3012.62,Summer
27.5,77.5,2020,3,1,10.139311,4207.02,Summer
27.5,77.5,2020,3,1,13.200405,5575.21,Summer
27.5,77.5,2020,3,1,17.484636,7186.41,Summer
27.5,77.5,2020,3,1,26.247059,9165.16,Summer
27.5,77.5,2020,3,1,36.773197,10364.27,Summer
27.5,77.5,2020,3,1,47.259613,11776.37,Summer
27.5,77.5,2020,3,1,47.000534,13510.6,Summer
27.5,77.5,2020,3,1,34.06483,15799.14,Summer
27.5,77.5,2020,3,1,20.911541,17671.37,Summer
27.5,77.5,2020,3,1,12.595562,19324.79,Summer
27.5,77.5,2020,3,1,11.328283,21641.08,Summer
27.5,77.5,2020,3,1,13.868961,23325.88,Summer
27.5,77.5,2020,3,1,11.327952,25921.43,Summer
27.5,77.5,2020,3,2,2.366035,110.9,Summer
27.5,77.5,2020,3,2,1.6660203,762.08,Summer
27.5,77.5,2020,3,2,1.2903488,1457.51,Summer
27.5,77.5,2020,3,2,5.082445,3012.62,Summer
27.5,77.5,2020,3,2,10.302215,4207.02,Summer
27.5,77.5,2020,3,2,12.988698,5575.21,Summer
27.5,77.5,2020,3,2,17.606195,7186.41,Summer
27.5,77.5,2020,3,2,35.262585,9165.16,Summer
27.5,77.5,2020,3,2,48.423164,10364.27,Summer
27.5,77.5,2020,3,2,53.299423,11776.37,Summer
27.5,77.5,2020,3,2,46.572525,13510.6,Summer
27.5,77.5,2020,3,2,33.208527,15799.14,Summer
27.5,77.5,2020,3,2,18.594254,17671.37,Summer
27.5,77.5,2020,3,2,10.712291,19324.79,Summer
27.5,77.5,2020,3,2,12.435861,21641.08,Summer
27.5,77.5,2020,3,2,16.5057,23325.88,Summer
27.5,77.5,2020,3,2,17.000294,25921.43,Summer
27.5,77.5,2020,3,3,1.5988256,110.9,Summer
27.5,77.5,2020,3,3,1.731508,762.08,Summer
27.5,77.5,2020,3,3,2.221627,1457.51,Summer
27.5,77.5,2020,3,3,4.031905,3012.62,Summer
27.5,77.5,2020,3,3,7.2220592,4207.02,Summer
27.5,77.5,2020,3,3,10.518585,5575.21,Summer
27.5,77.5,2020,3,3,19.741991,7186.41,Summer
27.5,77.5,2020,3,3,42.783073,9165.16,Summer
27.5,77.5,2020,3,3,47.73105,13510.6,Summer
27.5,77.5,2020,3,3,30.10783,15799.14,Summer
27.5,77.5,2020,3,3,17.689068,17671.37,Summer
27.5,77.5,2020,3,3,8.857273,19324.79,Summer
27.5,77.5,2020,3,3,10.0382395,21641.08,Summer
27.5,77.5,2020,3,3,18.318588,23325.88,Summer
27.5,77.5,2020,3,3,23.09429,25921.43,Summer
27.5,77.5,2020,3,4,2.5161977,110.9,Summer
27.5,77.5,2020,3,4,2.5653946,762.08,Summer
27.5,77.5,2020,3,4,3.064415,1457.51,Summer
