lat,lon
40.0,60.0
40.0,62.5
40.0,65.0
40.0,67.5
40.0,70.0
40.0,72.5
40.0,75.0
40.0,77.5
40.0,80.0
40.0,82.5
40.0,85.0
40.0,87.5
40.0,90.0
40.0,92.5
40.0,95.0
40.0,97.5
40.0,100.0
37.5,60.0
37.5,62.5
37.5,65.0
37.5,67.5
37.5,70.0
37.5,72.5
37.5,75.0
37.5,77.5
37.5,80.0
37.5,82.5
37.5,85.0
37.5,87.5
37.5,90.0
37.5,92.5
37.5,95.0
37.5,97.5
37.5,100.0
35.0,60.0
35.0,62.5
35.0,65.0
35.0,67.5
35.0,70.0
35.0,72.5
35.0,75.0
35.0,77.5
35.0,80.0
35.0,82.5
35.0,85.0
35.0,87.5
35.0,90.0
35.0,92.5
35.0,95.0
35.0,97.5
35.0,100.0
32.5,60.0
32.5,62.5
32.5,65.0
32.5,67.5
32.5,70.0
32.5,72.5
32.5,75.0
32.5,77.5
32.5,80.0
32.5,82.5
32.5,85.0
32.5,87.5
32.5,90.0
32.5,92.5
32.5,95.0
32.5,97.5
32.5,100.0
30.0,60.0
30.0,62.5
30.0,65.0
30.0,67.5
30.0,70.0
30.0,72.5
30.0,75.0
30.0,77.5
30.0,80.0
30.0,82.5
30.0,85.0
30.0,87.5
30.0,90.0
30.0,92.5
30.0,95.0
30.0,97.5
30.0,100.0
27.5,60.0
27.5,62.5
27.5,65.0
27.5,67.5
27.5,70.0
27.5,72.5
27.5,75.0
27.5,77.5
27.5,80.0
27.5,82.5
27.5,85.0
27.5,87.5
27.5,90.0
27.5,92.5
27.5,95.0
27.5,97.5
27.5,100.0
25.0,60.0
25.0,62.5
25.0,65.0
25.0,67.5
25.0,70.0
25.0,72.5
25.0,75.0
25.0,77.5
25.0,80.0
25.0,82.5
25.0,85.0
25.0,87.5
25.0,90.0
25.0,92.5
25.0,95.0
25.0,97.5
25.0,100.0
22.5,60.0
22.5,62.5
22.5,65.0
22.5,67.5
22.5,70.0
22.5,72.5
22.5,75.0
22.5,77.5
22.5,80.0
22.5,82.5
22.5,85.0
22.5,87.5
22.5,90.0
22.5,92.5
22.5,95.0
22.5,97.5
22.5,100.0
20.0,60.0
20.0,62.5
20.0,65.0
20.0,67.5
20.0,70.0
20.0,72.5
20.0,75.0
20.0,77.5
20.0,80.0
20.0,82.5
20.0,85.0
20.0,87.5
20.0,90.0
20.0,92.5
20.0,95.0
20.0,97.5
20.0,100.0
17.5,60.0
17.5,62.5
17.5,65.0
17.5,67.5
17.5,70.0
17.5,72.5
17.5,75.0
17.5,77.5
17.5,80.0
17.5,82.5
17.5,85.0
17.5,87.5
17.5,90.0
17.5,92.5
17.5,95.0
17.5,97.5
17.5,100.0
15.0,60.0
15.0,62.5
15.0,65.0
15.0,67.5
15.0,70.0
15.0,72.5
15.0,75.0
15.0,77.5
15.0,80.0
15.0,82.5
15.0,85.0
15.0,87.5
15.0,90.0
15.0,92.5
15.0,95.0
15.0,97.5
15.0,100.0
12.5,60.0
12.5,62.5
12.5,65.0
12.5,67.5
12.5,70.0
12.5,72.5
12.5,75.0
12.5,77.5
12.5,80.0
12.5,82.5
12.5,85.0
12.5,87.5
12.5,90.0
12.5,92.5
12.5,95.0
12.5,97.5
12.5,100.0
10.0,60.0
10.0,62.5
10.0,65.0
10.0,67.5
10.0,70.0
10.0,72.5
10.0,75.0
10.0,77.5
10.0,80.0
10.0,82.5
10.0,85.0
10.0,87.5
10.0,90.0
10.0,92.5
10.0,95.0
10.0,97.5
10.0,100.0
7.5,60.0
7.5,62.5
7.5,65.0
7.5,67.5
7.5,70.0
7.5,72.5
7.5,75.0
7.5,77.5
7.5,80.0
7.5,82.5
7.5,85.0
7.5,87.5
7.5,90.0
7.5,92.5
7.5,95.0
7.5,97.5
7.5,100.0
5.0,60.0
5.0,62.5
5.0,65.0
5.0,67.5
5.0,70.0
5.0,72.5
5.0,75.0
5.0,77.5
5.0,80.0
5.0,82.5
5.0,85.0
5.0,87.5
5.0,90.0
5.0,92.5
5.0,95.0
5.0,97.5
5.0,100.0
